Date,Open,High,Low,Close,Adj Close,Volume,sector,ETF Name,Full ETF Name
2018-12-01,27.360000610351562,27.469999313354492,22.049999237060547,23.81999969482422,21.461336135864258,1769457500,Financial,XLF,Financial Select Sector SPDR Fund
2019-01-01,23.469999313354492,26.170000076293945,23.399999618530273,25.940000534057617,23.517135620117188,1217940900,Financial,XLF,Financial Select Sector SPDR Fund
2019-02-01,25.979999542236328,26.81999969482422,25.34000015258789,26.520000457763672,24.042964935302734,803709700,Financial,XLF,Financial Select Sector SPDR Fund
2019-03-01,26.75,27.100000381469727,25.079999923706055,25.709999084472656,23.308624267578125,1288232100,Financial,XLF,Financial Select Sector SPDR Fund
2019-04-01,25.920000076293945,28.1299991607666,25.90999984741211,28.020000457763672,25.532546997070312,1070041200,Financial,XLF,Financial Select Sector SPDR Fund
2019-05-01,28.049999237060547,28.139999389648438,25.989999771118164,26.010000228881836,23.700979232788086,1038601800,Financial,XLF,Financial Select Sector SPDR Fund
2019-06-01,25.969999313354492,27.700000762939453,25.920000076293945,27.600000381469727,25.149829864501953,919706500,Financial,XLF,Financial Select Sector SPDR Fund
2019-07-01,27.920000076293945,28.719999313354492,27.709999084472656,28.25,25.87328338623047,824514000,Financial,XLF,Financial Select Sector SPDR Fund
2019-08-01,28.229999542236328,28.420000076293945,25.920000076293945,26.920000076293945,24.65517807006836,1329491700,Financial,XLF,Financial Select Sector SPDR Fund
2019-09-01,26.700000762939453,28.670000076293945,26.40999984741211,28.0,25.644317626953125,1104208700,Financial,XLF,Financial Select Sector SPDR Fund
2019-10-01,28.1299991607666,29.0,26.450000762939453,28.700000762939453,26.41943359375,1141356700,Financial,XLF,Financial Select Sector SPDR Fund
2019-11-01,28.920000076293945,30.239999771118164,28.860000610351562,30.149999618530273,27.75421142578125,768344000,Financial,XLF,Financial Select Sector SPDR Fund
2019-12-01,30.200000762939453,31.040000915527344,29.350000381469727,30.780000686645508,28.334150314331055,817716000,Financial,XLF,Financial Select Sector SPDR Fund
2020-01-01,30.889999389648438,31.100000381469727,29.75,29.959999084472656,27.719709396362305,843307600,Financial,XLF,Financial Select Sector SPDR Fund
2020-02-01,30.170000076293945,31.3799991607666,25.969999313354492,26.59000015258789,24.601703643798828,1130861900,Financial,XLF,Financial Select Sector SPDR Fund
2020-03-01,26.639999389648438,28.25,17.489999771118164,20.81999969482422,19.263164520263672,3049399400,Financial,XLF,Financial Select Sector SPDR Fund
2020-04-01,19.719999313354492,23.65999984741211,19.360000610351562,22.790000915527344,21.264652252197266,1534101600,Financial,XLF,Financial Select Sector SPDR Fund
2020-05-01,22.25,24.34000015258789,20.09000015258789,23.40999984741211,21.84315299987793,1390802400,Financial,XLF,Financial Select Sector SPDR Fund
2020-06-01,23.5,26.829999923706055,22.520000457763672,23.139999389648438,21.59122657775879,2028165400,Financial,XLF,Financial Select Sector SPDR Fund
2020-07-01,23.239999771118164,24.489999771118164,22.489999771118164,24.030000686645508,22.56468391418457,1292554900,Financial,XLF,Financial Select Sector SPDR Fund
